French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
importe,imported
sang ,blood
désolée ,Sorry
cas ,case
sous ,below
rester ,stay
amis ,friends
prends ,take
fini ,finished
hommes ,men
tué ,kill
question ,question
partie ,part
histoire ,history
devrais ,should
aide ,aid
dernière ,last
demande ,asked
chercher ,seek
pensais ,thought
genre ,gender
seulement ,only
police ,police
car ,because
mois ,month
frère ,brother
laisser ,let
aucun ,none
mettre ,put
eux ,them
laisse ,leave alone
chaque ,each
ville ,city
arrivé ,arrived
devrait ,should
parlé ,speak
avez-vous ,have you got
vont ,are going
longtemps ,a long time
aucune ,none
heures ,hours
bébé ,Babe
place ,place
revoir ,see again
putain ,whore
compris ,Understood
ni ,neither
savais ,knew
leurs ,their
étaient ,were
attention ,attention
donner ,give
affaire ,affair
endroit ,place
pourrais ,could
corps ,body
façon ,way
donné ,given
est-il ,is it
voici ,here is
train ,train
dont ,of which
écoute ,listen
yeux ,eyes
trouve ,find
pouvoir ,power
type ,kind
perdu ,lost
premier ,first
première ,first
côté ,coast
point ,point
tellement ,such
main ,hand
tiens ,take
sois ,be
enfant ,child
vieux ,old
matin ,Morning
venu ,came
pardon ,pardon
là-bas ,over there
suite ,following
vers ,towards
minutes ,minutes
demandé ,asked
venez ,come
devant ,before
dr ,DR
enfin ,Finally
arrêter ,Stop
cause ,cause
nouvelle ,new
attendez ,wait
chambre ,bedroom
droit ,right
parti ,left
mis ,put
eau ,water
compte ,account
